Username,Ulasan,Keterangan
Rahmi Lianingsih,"Pertama kali ajak anak kesini. Cocok untuk anak umur diatas 2th. Karena jika dibawah 2th masih kurang bisa menikmati. Anakku usia 3th 3bln rasaku umur yg pas, anak udah banyak pertanyaan dan antusias melihan berbagai jenis binatang. …",0
Nurul Muharromiyah,"Tempat edu wisata keluarga, bawa makanan apapun boleh. Tapi kalo tikar besar g boleh ya gaes 😂. Disediakan banyak tempat duduk untuk menunggu/istirahat sejenak sambil buka bekal 😀 …",1
Jianata Inanggayu Purnanean,"Hampir setiap hari ramai dipadati pengunjung yang sebagian besar dari mereka merupakan keluarga yang sedang melakukan study tour menemani anak-anak mereka di rombongan TK - SD. Ada pembaharuan di pembangunannya, lebih baik dan bagus dari …",1
liyaliyu oye,Berkunjung ke KBS tak perlu lagi pake aplikasi tiketwisata surabaya krn sdh bisa dibeli langsung  di loket. Animo masyarakat msh cukup tinggi utk mengajak buah hati melihat satwa koleksi KBS. Tiket masuk 15.000; tiket naik unta 35.000; …,0
Kalmasera Subiakto,"Tiket masuk 15 ribu per kepala, anak diatas usia 2 tahun harus bayar sendiri.
Masuk ke akuarium bayar lagi, per kepala 30 ribu, di dalam ada taman reptil dan diorama nocturnal (cukup kecewa karna koleksi sepi banyak akuarium yang kosong …",2
Zenobio Z,Wisata semua generasi. Dari saya TK sampai skrg pny anak 10 tahun jd andalan tuk healing tipis2 merasakan hutan kota Surabaya sambil melihat satwa. …,1
Ai Wo,"Mungkin aku nggak mau lagi ke KBS, hewan-hewan di sini kasihan. Untuk ukuran kebun binatang, di sini kurang rindang. Yang teduh hanya tempatnya manusia. Sementara bagian para binantangnya panas bangeeeeeeeet. Satu kandang kecil diisi …",2
Milo,"kesini pas weekdays ga terlalu ramai jam 10 an gitu tapi kalo diatas jam 1 sudah lumayan ramai, tempatnya asri, teduh, cukup banyak ragam binatangnya, mengasyikkan banget pas kesini. Disini ada foodcourt, musholla, penjual makanan, jajanan, …",1
Fransisca Amaylia Widyatno,"Kemarin ke sini pas hari Sabtu jadi rame bgt, sampek parkir di rumah orang alias ada pungli bayar 20rb. HTM 15rb tapi di dalam harus bayar lagi kalo pengen naik unta, masuk aquarium, beli makanan buat hewan, jajan, toilet, perahu, foto, …",2
MP,Ke sini hari minggu tgl 2 januari. Rame pol. Mungkin krn msh liburan tahun baru. Beli tiket hrs desak2an. Petugas tereak2 nyuruh ngantri pdhl sy sdh ngantri. Memusingkan. Sprti yg sy duga di dlm bonbin lebih rame lg. Denah yg disediakan tdk …,2
